zip,primary_city,state,county,area_codes
41647,Mc Dowell,KY,Floyd County,606
41649,Martin,KY,Floyd County,606
41650,Melvin,KY,Floyd County,606
41651,Minnie,KY,Floyd County,606
41653,Prestonsburg,KY,Floyd County,606
41655,Printer,KY,Floyd County,606
41659,Stanville,KY,Floyd County,606
41660,Teaberry,KY,Floyd County,606
41663,Tram,KY,Floyd County,606
41666,Wayland,KY,Floyd County,606
41667,Weeksbury,KY,Floyd County,606
41669,Wheelwright,KY,Floyd County,606
41701,Hazard,KY,Perry County,606
41702,Hazard,KY,Perry County,606
41712,Ary,KY,Perry County,606
41713,Avawam,KY,Perry County,606
41714,Bear Branch,KY,Leslie County,606
41719,Bonnyman,KY,Perry County,606
41721,Buckhorn,KY,Perry County,606
41722,Bulan,KY,Perry County,606
41723,Busy,KY,Perry County,606
41725,Carrie,KY,Knott County,606
41727,Chavies,KY,Perry County,606
41729,Combs,KY,Perry County,606
41731,Cornettsville,KY,Perry County,
41735,Delphia,KY,Perry County,606
41736,Dice,KY,Perry County,606
41739,Dwarf,KY,Perry County,606
41740,Emmalena,KY,Knott County,606
41743,Fisty,KY,Knott County,606
41745,Gays Creek,KY,Perry County,
41746,Happy,KY,Perry County,606
41747,Hardburly,KY,Perry County,606
41749,Hyden,KY,Leslie County,606
41751,Jeff,KY,Perry County,606
41754,Krypton,KY,Perry County,606
41759,Sassafras,KY,Knott County,606
41760,Scuddy,KY,Perry County,606
41762,Sizerock,KY,Leslie County,606
41763,Slemp,KY,Perry County,606
41764,Smilax,KY,Leslie County,606
41766,Thousandsticks,KY,Leslie County,606
41772,Vest,KY,Knott County,606
41773,Vicco,KY,Perry County,606
41774,Viper,KY,Perry County,606
41775,Wendover,KY,Leslie County,606
41776,Wooton,KY,Leslie County,606
41777,Yeaddiss,KY,Leslie County,606
41778,Yerkes,KY,Perry County,606
41804,Blackey,KY,Letcher County,606
41810,Cromona,KY,Letcher County,606
41812,Deane,KY,Letcher County,606
41815,Ermine,KY,Letcher County,606
41817,Garner,KY,Knott County,606
41819,Gordon,KY,Letcher County,606
41821,Hallie,KY,Letcher County,606
41822,Hindman,KY,Knott County,606
41824,Isom,KY,Letcher County,606
41825,Jackhorn,KY,Letcher County,606
41826,Jeremiah,KY,Letcher County,606
41828,Kite,KY,Knott County,606
41831,Leburn,KY,Knott County,606
41832,Letcher,KY,Letcher County,606
41833,Linefork,KY,Letcher County,606
41834,Littcarr,KY,Knott County,606
41835,Mc Roberts,KY,Letcher County,606
41836,Mallie,KY,Knott County,606
41837,Mayking,KY,Letcher County,606
41838,Millstone,KY,Letcher County,606
41839,Mousie,KY,Knott County,606
41840,Neon,KY,Letcher County,606
41843,Pine Top,KY,Knott County,606
41844,Pippa Passes,KY,Knott County,606
41845,Premium,KY,Letcher County,606
41847,Redfox,KY,Knott County,606
41848,Roxana,KY,Letcher County,606
41849,Seco,KY,Letcher County,606
41855,Thornton,KY,Letcher County,606
41858,Whitesburg,KY,Letcher County,606
41859,Dema,KY,Knott County,606
41861,Raven,KY,Knott County,606
41862,Topmost,KY,Knott County,606
42001,Paducah,KY,McCracken County,270
42002,Paducah,KY,Mccracken County,270
42003,Paducah,KY,McCracken County,270
42020,Almo,KY,Calloway County,270
42021,Arlington,KY,Carlisle County,270
42022,Bandana,KY,Ballard County,270
42023,Bardwell,KY,Carlisle County,270
42024,Barlow,KY,Ballard County,270
42025,Benton,KY,Marshall County,270
42027,Boaz,KY,Graves County,270
42028,Burna,KY,Livingston County,270
42029,Calvert City,KY,Marshall County,270
42031,Clinton,KY,Hickman County,270
42032,Columbus,KY,Hickman County,270
42033,Crayne,KY,Crittenden County,270
42035,Cunningham,KY,Carlisle County,
42036,Dexter,KY,Calloway County,270
42037,Dycusburg,KY,Crittenden County,270
42038,Eddyville,KY,Lyon County,270
42039,Fancy Farm,KY,Graves County,
42040,Farmington,KY,Graves County,270
42041,Fulton,KY,Fulton County,270
42044,Gilbertsville,KY,Marshall County,270
